LTE,222,10,23060,10150176,0,11.125341,46.058336,1140,4,1,1418816528,1598948816,0
LTE,222,10,23060,10110987,0,11.118259,46.066313,1000,2,1,1418825335,1539855456,0
LTE,222,10,23060,10150175,0,11.121772,46.064249,1000,2,1,1419428654,1539855884,0
LTE,222,10,23060,10095136,0,11.121429,46.05934,1000,2,1,1420454455,1539855466,0
LTE,222,10,23060,10007329,0,11.119245,46.037422,2511,4,1,1420639246,1599482635,0
LTE,222,10,23060,10008352,0,11.129049,46.040863,5563,5,1,1421595199,1547638021,0
LTE,222,10,23060,10108428,0,11.126645,46.045982,2487,6,1,1421703534,1598956168,0
LTE,222,10,23060,10207519,0,11.12105,46.0353,2273,4,1,1422000038,1532617717,0
LTE,222,10,23060,10147615,0,11.129207,46.044486,1000,4,1,1422087809,1645358913,0
LTE,222,10,23060,10148895,0,11.115936,46.068953,1000,2,1,1422442123,1539855496,0
LTE,222,10,23060,9856033,0,11.114362,46.084152,1000,3,1,1423229777,1539861339,0
LTE,222,10,23060,10108448,0,11.123789,46.032305,2718,4,1,1425220174,1532617651,0
LTE,222,10,23060,10095155,0,11.122699,46.063508,1000,6,1,1433178313,1598953852,0
LTE,222,10,23060,9995296,0,11.112695,46.083425,5449,24,1,1439320028,1645357707,0
LTE,222,10,23060,9736736,0,11.102182,46.084849,7591,54,1,1439754016,1539873662,0
LTE,222,10,23060,10096673,0,11.119961,46.035991,2350,205,1,1439754017,1599482605,0
LTE,222,10,23060,10207521,0,11.111987,46.048568,3808,239,1,1439754017,1599482666,0
LTE,222,10,23060,10006304,0,11.103789,46.085284,7939,187,1,1439754016,1532617873,0
LTE,222,10,23060,10007841,0,11.09235,46.101299,2526,205,1,1439754016,1532617914,0
LTE,222,10,23060,10006305,0,11.099898,46.094791,4865,81,1,1439754016,1532617902,0
LTE,222,10,23060,10108939,0,11.113871,46.096348,4809,30,1,1439754016,1510143216,0
LTE,222,10,23060,10111519,0,11.104877,46.075893,3881,17,1,1439754016,1490835036,0
LTE,222,10,23060,10147595,0,11.132001,46.035781,2617,3,1,1446147873,1510245358,0
LTE,222,10,23060,10007309,0,11.111984,46.046923,1000,13,1,1447843151,1479720980,0
LTE,222,10,23060,10147617,0,11.119907,46.035797,1502,75,1,1447843151,1645358892,0
LTE,222,10,23060,10108429,0,11.11492,46.058532,1001,29,1,1447843151,1510914564,0
LTE,222,10,23060,9736737,0,11.086753,46.117371,4336,438,1,1447843181,1645357551,0
LTE,222,10,23060,10231309,0,11.10199,46.101579,1000,28,1,1447843181,1493787031,0
LTE,222,10,23060,10231308,0,11.110863,46.090141,6020,27,1,1447843181,1532617900,0
LTE,222,10,23060,10148897,0,11.113761,46.061438,1000,24,1,1447843181,1510911057,0
LTE,222,10,23060,9856031,0,11.110818,46.08232,1161,49,1,1447843181,1645357711,0
LTE,222,10,23060,9736757,0,11.087149,46.119609,2603,143,1,1447843181,1629017232,0
LTE,222,10,23060,9735949,0,11.087984,46.116444,4206,45,1,1447843181,1532618014,0
LTE,222,10,23060,9735948,0,11.102735,46.10142,3148,34,1,1447843181,1489770674,0
LTE,222,10,23060,9995277,0,11.099192,46.093994,1695,46,1,1447843181,1532617913,0
LTE,222,10,23060,10007840,0,11.102104,46.089559,4266,120,1,1448541397,1539873674,0
LTE,222,10,23060,9995276,0,11.110264,46.077109,1215,60,1,1448541397,1510910768,0
LTE,222,10,23060,10111520,0,11.088139,46.11093,1334,11,1,1448541397,1464769145,0
LTE,222,10,23060,9506081,0,11.108051,46.079873,4437,148,1,1448541397,1519741704,0
LTE,222,10,23060,10094604,0,11.127063,46.02867,5101,23,1,1448541397,1511033793,0
LTE,222,10,23060,10108449,0,11.11917,46.05602,1066,174,1,1448541408,1598958707,0
LTE,222,10,23060,10147597,0,11.120687,46.037523,1498,27,1,1448541408,1511115817,0
LTE,222,10,23060,10110988,0,11.120263,46.058122,1394,12,1,1448541408,1510911245,0
LTE,222,10,23060,10150924,0,11.14068,46.040269,5816,10,1,1448541408,1483541753,0
LTE,222,10,23060,10007861,0,11.092841,46.100432,1000,116,1,1448541408,1491223181,0
LTE,222,10,23060,10007860,0,11.099866,46.092272,3119,91,1,1448541408,1491223181,0
LTE,222,10,23060,9851916,0,11.125602,46.033402,1587,12,1,1448541408,1477090975,0
LTE,222,10,23060,9995297,0,11.112326,46.083588,7669,75,1,1448541443,1532617865,0
LTE,222,10,23060,9506080,0,11.115553,46.06865,1177,165,1,1448541443,1629016986,0
LTE,222,10,23060,10085131,0,11.091628,46.119475,1542,11,1,1448541443,1539874190,0
LTE,222,10,23060,10108940,0,11.124736,46.074143,3306,21,1,1448541502,1490835030,0
LTE,222,10,23060,10110989,0,11.113291,46.056775,1255,17,1,1448541502,1510911226,0
LTE,222,10,23060,10207541,0,11.111696,46.048027,1895,157,1,1449656437,1489418879,0
LTE,222,10,23060,10007328,0,11.121681,46.027336,3275,242,1,1449656437,1532617701,0
LTE,222,10,23060,9995295,0,11.106158,46.084436,5342,181,1,1449656436,1539854457,0
LTE,222,10,23060,9710369,0,11.088269,46.113366,1327,100,1,1450190360,1629017208,0
LTE,222,10,23060,10006325,0,11.099819,46.093739,1000,77,1,1452165042,1510216492,0
LTE,222,10,23060,10006324,0,11.102405,46.089291,2108,162,1,1452165042,1490835036,0
LTE,222,10,23060,9736756,0,11.101998,46.098954,3086,18,1,1452165042,1539873747,0
LTE,222,10,23060,9255969,0,11.121253,46.03815,1929,13,1,1452165116,1598923237,0
