Trento Centro;[1] Uscita casello;1;2022-12-29 13:00:00.000
Trento Centro;[1] Uscita casello;1;2022-12-29 12:50:00.000
Trento Centro;[1] Uscita casello;5;2022-12-29 12:45:00.000
Trento Centro;[1] Uscita casello;1;2022-12-29 12:35:00.000
Trento Centro;[1] Uscita casello;1;2022-12-29 12:25:00.000
Trento Centro;[1] Uscita casello;1;2022-12-29 12:10:00.000
Trento Centro;[1] Uscita casello;1;2022-12-29 12:05:00.000
Trento Centro;[1] Uscita casello;1;2022-12-29 12:00:00.000
Trento Centro;[1] Uscita casello;2;2022-12-29 11:55:00.000
Trento Centro;[1] Uscita casello;1;2022-12-29 11:50:00.000
Trento Centro;[1] Uscita casello;1;2022-12-29 11:40:00.000
Trento Centro;[1] Uscita casello;1;2022-12-29 11:15:00.000
Trento Centro;[1] Uscita casello;1;2022-12-29 08:05:00.000
Trento Centro;[1] Uscita casello;1;2022-12-29 07:50:00.000
Trento Centro;[1] Uscita casello;1;2022-12-29 07:25:00.000
Trento Centro;[1] Uscita casello;1;2022-12-29 06:50:00.000
Trento Centro;[1] Uscita casello;2;2022-12-29 06:45:00.000
Trento Centro;[1] Uscita casello;1;2022-11-22 03:25:00.000
Trento Centro;[1] Uscita casello;1;2022-11-22 03:00:00.000
Trento Centro;[1] Uscita casello;1;2022-11-22 02:45:00.000
Trento Centro;[1] Uscita casello;2;2022-11-22 02:30:00.000
Trento Centro;[1] Uscita casello;2;2022-11-22 02:25:00.000
Trento Centro;[1] Uscita casello;1;2022-11-22 02:20:00.000
Trento Centro;[1] Uscita casello;1;2022-11-22 01:40:00.000
Trento Centro;[1] Uscita casello;2;2022-11-22 01:15:00.000
Trento Centro;[1] Uscita casello;1;2022-11-22 01:10:00.000
Trento Centro;[1] Uscita casello;1;2022-11-22 01:00:00.000
Trento Centro;[1] Uscita casello;1;2022-11-22 00:55:00.000
Trento Centro;[1] Uscita casello;1;2022-11-22 00:30:00.000
Trento Centro;[1] Uscita casello;1;2022-11-22 00:15:00.000
Trento Centro;[1] Uscita casello;1;2022-11-22 00:05:00.000
Trento Centro;[1] Uscita casello;1;2022-11-22 00:00:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 23:45:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 23:40:00.000
